wallet,from_address,to_address,value_eth,gas_used,gas_price_gwei,timestamp,hour_utc,day_of_week,is_new_recipient,is_round_amount,tx_count_10min,period_volume_eth,amount_zscore,recipient_cluster,anomaly_label,anomaly_type
0x0000000000000000000000000000000000000007,0x0000000000000000000000000000000000000007,0x0000000000000000000000000000000000000066,0.011852,57973,17.85,2024-09-01 10:00:00,10,6,0,0,3,0.015446,0.11,1,0,NONE
0x0000000000000000000000000000000000000002,0x0000000000000000000000000000000000000002,0x000000000000000000000000000000000000007d,0.016675,74134,22.39,2024-09-01 10:00:00,10,6,0,0,1,0.035098,-0.503,3,0,NONE
0x0000000000000000000000000000000000000006,0x0000000000000000000000000000000000000006,0x0000000000000000000000000000000000000069,0.229392,49809,39.09,2024-09-01 10:00:00,10,6,0,0,2,0.438137,-0.562,2,0,NONE
0x0000000000000000000000000000000000000009,0x0000000000000000000000000000000000000009,0x0000000000000000000000000000000000000072,0.217716,50918,10.05,2024-09-01 10:00:00,10,6,0,0,1,0.542884,1.228,2,0,NONE
0x0000000000000000000000000000000000000004,0x0000000000000000000000000000000000000004,0x0000000000000000000000000000000000000064,0.212086,39171,70.09,2024-09-01 10:00:00,10,6,0,0,1,0.383944,0.896,0,0,NONE
0x000000000000000000000000000000000000000a,0x000000000000000000000000000000000000000a,0x000000000000000000000000000000000000007c,0.212247,71472,50.93,2024-09-01 10:25:00,10,6,0,0,1,0.355376,-0.558,0,0,NONE
0x000000000000000000000000000000000000000c,0x000000000000000000000000000000000000000c,0x0000000000000000000000000000000000000068,0.256791,61270,40.36,2024-09-01 10:38:00,10,6,0,0,2,0.628622,-0.35,0,0,NONE
0x0000000000000000000000000000000000000004,0x0000000000000000000000000000000000000004,0x000000000000000000000000000000000000007b,0.015265,72329,73.61,2024-09-01 10:39:00,10,6,0,0,2,0.025753,1.392,0,0,NONE
0x0000000000000000000000000000000000000005,0x0000000000000000000000000000000000000005,0x0000000000000000000000000000000000000071,0.770227,44874,57.35,2024-09-01 10:39:00,10,6,0,0,2,1.475673,0.757,3,0,NONE
0x0000000000000000000000000000000000000009,0x0000000000000000000000000000000000000009,0x0000000000000000000000000000000000000066,0.174742,63899,35.23,2024-09-01 10:43:00,10,6,0,0,3,0.41164,-1.003,3,0,NONE
0x0000000000000000000000000000000000000008,0x0000000000000000000000000000000000000008,0x0000000000000000000000000000000000000072,0.026989,44587,63.29,2024-09-01 10:47:00,10,6,0,0,1,0.034575,-0.153,3,0,NONE
0x0000000000000000000000000000000000000006,0x0000000000000000000000000000000000000006,0x0000000000000000000000000000000000000067,0.01841,24316,30.31,2024-09-01 10:52:00,10,6,0,0,3,0.029957,1.388,1,0,NONE
0x000000000000000000000000000000000000000e,0x000000000000000000000000000000000000000e,0x000000000000000000000000000000000000006a,0.127444,48043,73.39,2024-09-01 10:52:00,10,6,0,0,1,0.158213,-0.838,2,0,NONE
0x0000000000000000000000000000000000000006,0x0000000000000000000000000000000000000006,0x0000000000000000000000000000000000000070,0.10613,29569,63.25,2024-09-01 10:52:00,10,6,0,0,1,0.156932,-0.101,2,0,NONE
0x000000000000000000000000000000000000000d,0x000000000000000000000000000000000000000d,0x000000000000000000000000000000000000006a,0.528022,28913,75.12,2024-09-01 11:00:00,11,6,0,0,2,1.181096,-0.928,2,0,NONE
0x000000000000000000000000000000000000000f,0x000000000000000000000000000000000000000f,0x0000000000000000000000000000000000000081,0.026078,26909,48.47,2024-09-01 11:00:00,11,6,0,0,3,0.06187,-0.456,2,0,NONE
0x0000000000000000000000000000000000000003,0x0000000000000000000000000000000000000003,0x000000000000000000000000000000000000006c,0.063064,64281,15.68,2024-09-01 11:00:00,11,6,0,0,3,0.070165,-1.492,3,0,NONE
0x0000000000000000000000000000000000000007,0x0000000000000000000000000000000000000007,0x0000000000000000000000000000000000000081,0.022521,51937,12.22,2024-09-01 11:04:00,11,6,0,0,1,0.048392,1.435,3,0,NONE
0x000000000000000000000000000000000000000a,0x000000000000000000000000000000000000000a,0x000000000000000000000000000000000000007e,0.027968,72180,78.78,2024-09-01 11:15:00,11,6,0,0,2,0.043584,0.391,0,0,NONE
0x000000000000000000000000000000000000000d,0x000000000000000000000000000000000000000d,0x0000000000000000000000000000000000000074,0.337955,69248,13.4,2024-09-01 11:16:00,11,6,0,0,3,0.582769,0.025,1,0,NONE
0x000000000000000000000000000000000000000e,0x000000000000000000000000000000000000000e,0x000000000000000000000000000000000000007f,0.150297,54238,54.21,2024-09-01 11:20:00,11,6,0,0,3,0.241633,0.27,0,0,NONE
0x0000000000000000000000000000000000000007,0x0000000000000000000000000000000000000007,0x000000000000000000000000000000000000007b,0.088667,35280,50.48,2024-09-01 11:24:00,11,6,1,0,2,0.181819,0.123,0,0,NONE
0x0000000000000000000000000000000000000005,0x0000000000000000000000000000000000000005,0x0000000000000000000000000000000000000068,0.116681,26057,30.71,2024-09-01 11:25:00,11,6,0,0,3,0.251601,1.005,0,0,NONE
0x000000000000000000000000000000000000000c,0x000000000000000000000000000000000000000c,0x0000000000000000000000000000000000000069,0.779896,41539,54.41,2024-09-01 11:28:00,11,6,1,0,2,1.024841,0.821,1,0,NONE
0x0000000000000000000000000000000000000009,0x0000000000000000000000000000000000000009,0x000000000000000000000000000000000000007f,0.380297,76513,56.09,2024-09-01 11:28:00,11,6,0,0,3,0.726516,-0.934,3,0,NONE
0x000000000000000000000000000000000000000f,0x000000000000000000000000000000000000000f,0x0000000000000000000000000000000000000072,0.011941,47473,50.24,2024-09-01 11:32:00,11,6,0,0,2,0.021008,0.176,2,0,NONE
0x0000000000000000000000000000000000000002,0x0000000000000000000000000000000000000002,0x000000000000000000000000000000000000006c,0.103958,31433,65.12,2024-09-01 11:39:00,11,6,0,0,1,0.237844,-0.833,3,0,NONE
0x000000000000000000000000000000000000000b,0x000000000000000000000000000000000000000b,0x0000000000000000000000000000000000000076,0.120907,25039,20.58,2024-09-01 11:42:00,11,6,0,0,1,0.136451,-0.469,3,0,NONE
0x000000000000000000000000000000000000000f,0x000000000000000000000000000000000000000f,0x000000000000000000000000000000000000007a,0.037783,75537,28.43,2024-09-01 11:45:00,11,6,0,0,2,0.075964,0.963,0,0,NONE
0x0000000000000000000000000000000000000003,0x0000000000000000000000000000000000000003,0x0000000000000000000000000000000000000065,0.044072,31873,65.48,2024-09-01 11:51:00,11,6,0,0,3,0.10497,-0.183,3,0,NONE
0x000000000000000000000000000000000000000a,0x000000000000000000000000000000000000000a,0x0000000000000000000000000000000000000081,0.329471,73482,37.51,2024-09-01 12:00:00,12,6,0,0,2,0.486657,-0.684,0,0,NONE
0x000000000000000000000000000000000000000b,0x000000000000000000000000000000000000000b,0x0000000000000000000000000000000000000069,0.058053,45315,71.98,2024-09-01 12:00:00,12,6,0,0,2,0.061938,-0.181,2,0,NONE
